dataset,minmax_chi_square_naiveBayes,minmax_fisher_naiveBayes,minmax_reliefF_naiveBayes
dataset_prostate_singh,2,3,1
dataset_glioma_phillips,3,2,1
dataset_leukemia_armstrong,2,3,1
dataset_breast_sotiriou,3,1,2
dataset_lymphoma_dave_2,2,1,3
dataset_liver_iizuka,2,1,3
dataset_srbct_khan,1,2,3
dataset_lung_beer,2,1,3
dataset_breast_west,1,2,3
dataset_mixed_monti,2,3,1
dataset_bladder_sanchez-carbayo,3,2,1
dataset_leukemia_haslinger,3,2,1
dataset_cns_pomeroy_2,1,2,3
dataset_breast_glaab,2,3,1
dataset_breast_veer,3,2,1
dataset_breast_perou,2,1,3
dataset_mixed_ramaswamy,2,1,3
dataset_leukemia_golub,3,2,1
dataset_breast_wang,3,1,2
dataset_leukemia_andersson,2,1,3
dataset_breast_ma_2,2,3,1
dataset_lung_gordon,3,2,1
dataset_breast_sharma,1,3,2
dataset_breast_gruvberger,3,2,1
dataset_lung_bhattacharjee_2,3,2,1
dataset_prostate_tomlins,2,3,1
dataset_headneck_pyeon_3,2,1,3
dataset_lung_raponi_2,3,1,2
dataset_bladder_dyrskjot,1,2,3
dataset_lung_bild,1,2,3
dataset_lymphoma_alizadeh,2,3,1
dataset_breast_kreike,2,3,1
dataset_ovarian_schwartz,1,2,3
dataset_colon_alon,3,2,1
dataset_head_neck_chung,2,3,1
dataset_lung_tomida,3,2,1
dataset_myeloma_tian,2,1,3
dataset_ovarian_jazaeri,3,2,1
dataset_glioma_freije,3,1,2
dataset_lymphoma_shipp,2,3,1
dataset_leukemia_bullinger,2,1,3
dataset_leukemia_yagi,2,1,3
dataset_ovarian_li_and_campbell,1,2,3
dataset_lymphoma_rosenwald,2,1,3
dataset_breast_desmedt,2,1,3
dataset_lung_larsen,3,2,1
dataset_bladder_blaveri,2,1,3
dataset_leukemia_yeoh,3,2,1
dataset_breast_minn,2,1,3
dataset_leukemia_gutierrez,1,3,2
dataset_liver_chen,3,1,2
dataset_mixed_chowdary,1,3,2
dataset_adrenal_dahia,3,2,1
dataset_glioma_rickman,1,2,3
dataset_colon_watanabe,3,2,1
dataset_pancreas_ishikawa,1,2,3
dataset_glioma_nutt,1,2,3
dataset_sarcoma_detwiller,2,1,3
dataset_colon_lin_1,1,2,3
dataset_liver_ye,2,3,1
